Grid_Number,Del_popu_Government_Facilities
1416,26425.0
1417,5201.0
1418,1442.0
1419,1276.0
1420,-1.0
1421,-1.0
1422,-1.0
1423,7203.0
1424,2655.0
1425,3090.0
1426,3090.0
1427,9619.0
1428,1562.0
1429,7846.0
1430,7846.0
1431,4027.0
1432,4027.0
1433,4778.0
1434,10138.0
1435,467.0
1436,5220.0
1437,5399.0
1438,12723.0
1439,6929.0
1440,4848.0
1441,15779.0
1442,8469.0
1443,10762.0
1444,4494.0
1445,1716.0
1446,2601.0
1447,4466.0
1448,2963.0
1449,9085.0
1450,2863.0
1451,1328.0
1452,992.0
1453,5115.0
1454,6670.0
1455,10996.0
1456,18364.0
1457,18364.0
1458,18609.0
1459,6125.0
1460,19430.0
1461,19430.0
1462,-1.0
1463,26425.0
1464,26425.0
1465,14197.0
1466,14197.0
1467,4650.0
1468,1752.0
1469,-1.0
1470,-1.0
1471,-1.0
1472,-1.0
1473,2655.0
1474,6275.0
1475,3090.0
1476,9481.0
1477,12773.0
1478,17824.0
1479,17824.0
1480,7706.0
1481,3781.0
1482,7086.0
1483,7086.0
1484,1045.0
1485,2391.0
1486,17992.0
1487,21851.0
1488,2946.0
1489,8517.0
1490,18948.0
1491,10111.0
1492,2721.0
1493,5817.0
1494,6380.0
1495,6425.0
1496,5917.0
1497,5429.0
1498,2305.0
1499,2906.0
1500,5909.0
1501,2567.0
1502,13158.0
1503,991.0
1504,21771.0
1505,18364.0
1506,13147.0
1507,10801.0
1508,12495.0
1509,1121.0
1510,22383.0
1511,30027.0
1512,30027.0
1513,26425.0
1514,14197.0
1515,14197.0
1516,18541.0
1517,2723.0
1518,-1.0
1519,-1.0
1520,-1.0
1521,-1.0
1522,26439.0
1523,26439.0
1524,21128.0
1525,21128.0
1526,12773.0
1527,17824.0
1528,4153.0
1529,7706.0
1530,3781.0
1531,8901.0
1532,2517.0
1533,1660.0
1534,484.0
1535,9060.0
1536,21851.0
1537,8480.0
1538,7530.0
1539,8280.0
1540,5481.0
1541,3706.0
1542,12243.0
1543,10013.0
1544,7890.0
1545,1967.0
1546,9139.0
1547,15841.0
1548,4483.0
1549,1768.0
1550,2888.0
1551,10802.0
1552,14633.0
1553,15687.0
1554,12261.0
1555,7158.0
1556,5099.0
1557,12495.0
1558,21433.0
1559,22383.0
1560,30027.0
1561,30027.0
1562,-1.0
1563,-1.0
1564,18541.0
1565,18541.0
1566,-1.0
1567,-1.0
1568,-1.0
1569,-1.0
1570,17888.0
1571,17888.0
1572,26439.0
1573,13634.0
1574,21128.0
1575,7631.0
1576,15907.0
1577,13658.0
1578,9544.0
1579,11904.0
1580,1887.0
1581,4825.0
1582,3105.0
1583,4577.0
1584,1684.0
1585,7004.0
1586,12609.0
1587,12923.0
1588,2816.0
1589,1523.0
1590,2871.0
1591,2288.0
1592,1259.0
1593,6337.0
1594,3660.0
1595,7143.0
1596,5657.0
1597,77.0
1598,14363.0
1599,4592.0
1600,10954.0
1601,8200.0
1602,13452.0
1603,3209.0
1604,3573.0
1605,5876.0
1606,9660.0
1607,9660.0
1608,18484.0
1609,18484.0
1610,30027.0
1611,-1.0
1612,-1.0
1613,-1.0
1614,18541.0
1615,-1.0
1616,-1.0
1617,-1.0
1618,-1.0
1619,17888.0
